-0.0,0.0,0.43701,-0.0054,0.02973,0.04977,0.9983,-0.44752,1.07268,-2.12686,0.31967,0.99246,-2.00441,-0.27105,0.92791,-1.93904,0.35477,1.04409,-1.8327
-0.01634,0.00274,0.43771,-0.00847,0.02721,0.05474,0.99809,-0.4807,0.91584,-2.12984,0.31912,1.03601,-2.00091,-0.27146,0.83322,-1.90739,0.36394,1.08376,-1.83397
-0.03261,0.00579,0.43896,-0.01097,0.02221,0.06077,0.99784,-0.50827,0.76813,-2.10964,0.31552,1.07646,-1.98738,-0.27782,0.7483,-1.8753,0.37544,1.13136,-1.83826
-0.04857,0.00859,0.44055,-0.01283,0.0166,0.06549,0.99763,-0.52057,0.63811,-2.07278,0.31003,1.11513,-1.96907,-0.2869,0.67318,-1.84097,0.3878,1.1822,-1.84108
-0.06557,0.0109,0.4421,-0.0146,0.01065,0.06889,0.99746,-0.51545,0.55062,-2.02926,0.30703,1.15228,-1.94751,-0.29769,0.61164,-1.80565,0.401,1.23232,-1.83994
-0.08249,0.01293,0.44397,-0.01664,0.00523,0.07051,0.99736,-0.49452,0.49778,-1.9777,0.30742,1.18486,-1.92492,-0.30037,0.56994,-1.77428,0.41492,1.27912,-1.83606
-0.09843,0.01481,0.44605,-0.01939,0.00225,0.07009,0.99735,-0.47352,0.45336,-1.93414,0.31066,1.20956,-1.90507,-0.29397,0.54628,-1.74771,0.42779,1.31548,-1.82651
-0.11517,0.017,0.44783,-0.02265,-0.00054,0.06812,0.99742,-0.46795,0.42747,-1.87948,0.31658,1.23544,-1.88339,-0.2789,0.54665,-1.72675,0.4382,1.35048,-1.81718
-0.13192,0.01972,0.44866,-0.02673,-0.00255,0.06527,0.99751,-0.40062,0.42304,-1.84063,0.32371,1.26047,-1.86601,-0.26635,0.57762,-1.72725,0.44541,1.38475,-1.81117
-0.14904,0.0223,0.44808,-0.02972,-0.00449,0.06337,0.99754,-0.34721,0.45149,-1.81649,0.32897,1.29189,-1.85249,-0.26788,0.63807,-1.75957,0.45255,1.425,-1.82015
-0.16619,0.02459,0.44679,-0.03182,-0.00441,0.06276,0.99751,-0.32134,0.49664,-1.80187,0.33191,1.32178,-1.84615,-0.26377,0.68254,-1.78094,0.45841,1.46888,-1.84752
-0.18382,0.02692,0.44491,-0.03153,-0.00188,0.0639,0.99746,-0.30089,0.54781,-1.79133,0.33256,1.35243,-1.84709,-0.26296,0.72834,-1.80275,0.45174,1.4905,-1.87741
-0.20234,0.02892,0.44338,-0.02942,0.00339,0.06576,0.9974,-0.33497,0.60377,-1.8399,0.32885,1.3821,-1.85032,-0.26538,0.76616,-1.81507,0.42903,1.47357,-1.89308
-0.22204,0.0305,0.44195,-0.02634,0.00971,0.06783,0.9973,-0.34016,0.64201,-1.86826,0.32649,1.41166,-1.8609,-0.26906,0.79724,-1.82252,0.40604,1.43273,-1.90919
-0.24261,0.03183,0.44024,-0.02201,0.01591,0.07048,0.99714,-0.35494,0.69452,-1.9069,0.32085,1.43041,-1.88189,-0.27406,0.82888,-1.82927,0.39237,1.37536,-1.9289
-0.2635,0.03302,0.43823,-0.01798,0.02172,0.0718,0.99702,-0.37107,0.74736,-1.9433,0.31641,1.42292,-1.9301,-0.27638,0.86199,-1.83612,0.38731,1.32672,-1.95438
-0.28467,0.03359,0.4362,-0.01393,0.02682,0.0707,0.99704,-0.37792,0.80218,-1.97625,0.32066,1.38369,-1.98296,-0.27989,0.89488,-1.84132,0.37173,1.27213,-1.97494
-0.30473,0.03357,0.43551,-0.01006,0.03138,0.06777,0.99716,-0.37751,0.85285,-2.00054,0.32446,1.3394,-2.03573,-0.27997,0.92428,-1.84046,0.35231,1.19915,-1.98387
